season,round,raceId,driverId,position,time,lap
2012,2,Malaysian Grand Prix,rosberg,6,2:10.115,3
2012,2,Malaysian Grand Prix,maldonado,7,2:10.571,3
2012,2,Malaysian Grand Prix,raikkonen,8,2:11.713,3
2012,2,Malaysian Grand Prix,kobayashi,9,2:11.984,3
2012,2,Malaysian Grand Prix,hulkenberg,10,2:10.901,3
2012,2,Malaysian Grand Prix,vergne,11,2:11.797,3
2012,2,Malaysian Grand Prix,massa,12,2:15.860,3
2012,2,Malaysian Grand Prix,michael_schumacher,13,2:12.049,3
2012,2,Malaysian Grand Prix,kovalainen,14,2:13.602,3
2012,2,Malaysian Grand Prix,ricciardo,15,2:13.782,3
2012,2,Malaysian Grand Prix,petrov,16,2:13.669,3
2012,2,Malaysian Grand Prix,grosjean,17,2:12.909,3
2012,2,Malaysian Grand Prix,glock,18,2:18.432,3
2012,2,Malaysian Grand Prix,perez,19,2:09.943,3
2012,2,Malaysian Grand Prix,karthikeyan,20,2:16.057,3
2012,2,Malaysian Grand Prix,pic,21,2:21.749,3
2012,2,Malaysian Grand Prix,rosa,22,2:16.224,3
2012,2,Malaysian Grand Prix,resta,23,2:29.457,3
2012,2,Malaysian Grand Prix,bruno_senna,24,2:09.482,3
2012,2,Malaysian Grand Prix,hamilton,1,2:11.167,4
2012,2,Malaysian Grand Prix,webber,2,2:13.473,4
2012,2,Malaysian Grand Prix,button,3,2:16.303,4
2012,2,Malaysian Grand Prix,vettel,4,2:13.699,4
2012,2,Malaysian Grand Prix,rosberg,5,2:14.564,4
2012,2,Malaysian Grand Prix,maldonado,6,2:14.693,4
2012,2,Malaysian Grand Prix,alonso,7,2:18.201,4
2012,2,Malaysian Grand Prix,raikkonen,8,2:14.580,4
2012,2,Malaysian Grand Prix,kobayashi,9,2:14.660,4
2012,2,Malaysian Grand Prix,vergne,10,2:14.900,4
2012,2,Malaysian Grand Prix,michael_schumacher,11,2:13.977,4
2012,2,Malaysian Grand Prix,hulkenberg,12,2:17.633,4
2012,2,Malaysian Grand Prix,perez,13,2:10.036,4
2012,2,Malaysian Grand Prix,ricciardo,14,2:19.635,4
2012,2,Malaysian Grand Prix,petrov,15,2:21.281,4
2012,2,Malaysian Grand Prix,kovalainen,16,2:24.598,4
2012,2,Malaysian Grand Prix,karthikeyan,17,2:15.986,4
2012,2,Malaysian Grand Prix,massa,18,2:31.014,4
2012,2,Malaysian Grand Prix,resta,19,2:13.148,4
2012,2,Malaysian Grand Prix,rosa,20,2:19.227,4
2012,2,Malaysian Grand Prix,glock,21,2:32.496,4
2012,2,Malaysian Grand Prix,bruno_senna,22,2:13.115,4
2012,2,Malaysian Grand Prix,pic,23,2:43.560,4
2012,2,Malaysian Grand Prix,hamilton,1,2:18.582,5
2012,2,Malaysian Grand Prix,webber,2,2:19.793,5
2012,2,Malaysian Grand Prix,vettel,3,2:23.382,5
2012,2,Malaysian Grand Prix,rosberg,4,2:24.736,5
2012,2,Malaysian Grand Prix,maldonado,5,2:24.173,5
2012,2,Malaysian Grand Prix,button,6,2:31.560,5
2012,2,Malaysian Grand Prix,raikkonen,7,2:24.665,5
2012,2,Malaysian Grand Prix,perez,8,2:12.859,5
2012,2,Malaysian Grand Prix,kobayashi,9,2:26.926,5
2012,2,Malaysian Grand Prix,michael_schumacher,10,2:22.835,5
2012,2,Malaysian Grand Prix,vergne,11,2:24.186,5
2012,2,Malaysian Grand Prix,alonso,12,2:32.702,5
2012,2,Malaysian Grand Prix,karthikeyan,13,2:17.219,5
2012,2,Malaysian Grand Prix,massa,14,2:16.527,5
2012,2,Malaysian Grand Prix,resta,15,2:16.598,5
2012,2,Malaysian Grand Prix,hulkenberg,16,2:35.023,5
2012,2,Malaysian Grand Prix,rosa,17,2:20.220,5
2012,2,Malaysian Grand Prix,ricciardo,18,2:34.823,5
2012,2,Malaysian Grand Prix,petrov,19,2:35.296,5
2012,2,Malaysian Grand Prix,glock,20,2:19.041,5
2012,2,Malaysian Grand Prix,kovalainen,21,2:42.149,5
2012,2,Malaysian Grand Prix,bruno_senna,22,2:16.925,5
2012,2,Malaysian Grand Prix,pic,23,2:22.322,5
