driverId,cons,num,pos,postex,poi,grid,laps,tim,millis,fastl,rank
alonso,mclaren,14,5,5,10,10,58,+27.886,5401169,57,7
max_verstappen,red_bull,33,6,6,8,4,58,+28.945,5402228,54,5
hulkenberg,renault,27,7,7,6,7,58,+32.671,5405954,57,9
bottas,mercedes,77,8,8,4,15,58,+34.339,5407622,54,8
vandoorne,mclaren,2,9,9,2,11,58,+34.921,5408204,57,6
sainz,renault,55,10,10,1,9,58,+45.722,5419005,51,12
perez,force_india,11,11,11,0,12,58,+46.817,5420100,51,11
ocon,force_india,31,12,12,0,14,58,+1:00.278,5433561,57,10
leclerc,sauber,16,13,13,0,18,58,+1:15.759,5449042,56,15
stroll,williams,18,14,14,0,13,58,+1:18.288,5451571,55,14
brendon_hartley,toro_rosso,28,15,15,0,16,57,,,57,13
grosjean,haas,8,16,R,0,6,24,,,23,16
kevin_magnussen,haas,20,17,R,0,5,22,,,21,17
gasly,toro_rosso,10,18,R,0,20,13,,,13,18
ericsson,sauber,9,19,R,0,17,5,,,4,19
sirotkin,williams,35,20,R,0,19,4,,,3,20
vettel,ferrari,5,1,1,25,1,57,1:32:01.940,5521940,21,7
bottas,mercedes,77,2,2,18,3,57,+0.699,5522639,22,1
hamilton,mercedes,44,3,3,15,9,57,+6.512,5528452,51,2
gasly,toro_rosso,10,4,4,12,5,57,+1:02.234,5584174,46,11
kevin_magnussen,haas,20,5,5,10,6,57,+1:15.046,5596986,29,5
hulkenberg,renault,27,6,6,8,7,57,+1:39.024,5620964,50,9
alonso,mclaren,14,7,7,6,13,56,,,47,4
vandoorne,mclaren,2,8,8,4,14,56,,,30,16
ericsson,sauber,9,9,9,2,17,56,,,26,15
ocon,force_india,31,10,10,1,8,56,,,38,12
bottas,mercedes,77,1,1,26,2,58,1:25:27.325,5127325,57,1
hamilton,mercedes,44,2,2,18,1,58,+20.886,5148211,57,2
max_verstappen,red_bull,33,3,3,15,4,58,+22.520,5149845,57,3
vettel,ferrari,5,4,4,12,3,58,+57.109,5184434,16,8
leclerc,ferrari,16,5,5,10,5,58,+58.203,5185528,58,4
kevin_magnussen,haas,20,6,6,8,7,58,+1:27.156,5214481,56,9
hulkenberg,renault,27,7,7,6,11,57,,,52,12
raikkonen,alfa,7,8,8,4,9,57,,,52,11
stroll,racing_point,18,9,9,2,16,57,,,29,7
kvyat,toro_rosso,26,10,10,1,15,57,,,39,6
gasly,red_bull,10,11,11,0,17,57,,,39,5
norris,mclaren,4,12,12,0,8,57,,,17,16
perez,racing_point,11,13,13,0,10,57,,,41,15
albon,toro_rosso,23,14,14,0,13,57,,,43,10
giovinazzi,alfa,99,15,15,0,14,57,,,29,14
russell,williams,63,16,16,0,19,56,,,55,17
kubica,williams,88,17,17,0,20,55,,,30,18
grosjean,haas,8,18,R,0,6,29,,,17,13
ricciardo,renault,3,19,R,0,12,28,,,18,19
sainz,mclaren,55,20,R,0,18,9,,,9,20
hamilton,mercedes,44,1,1,25,3,57,1:34:21.295,5661295,36,2
bottas,mercedes,77,2,2,18,4,57,+2.980,5664275,42,3
leclerc,ferrari,16,3,3,16,1,57,+6.131,5667426,38,1
max_verstappen,red_bull,33,4,4,12,5,57,+6.408,5667703,47,9
vettel,ferrari,5,5,5,10,2,57,+36.068,5697363,43,4
norris,mclaren,4,6,6,8,9,57,+45.754,5707049,14,12
raikkonen,alfa,7,7,7,6,8,57,+47.470,5708765,45,11
gasly,red_bull,10,8,8,4,13,57,+58.094,5719389,42,8
albon,toro_rosso,23,9,9,2,12,57,+1:02.697,5723992,39,16
perez,racing_point,11,10,10,1,14,57,+1:03.696,5724991,51,14
bottas,mercedes,77,1,1,25,1,71,1:30:55.739,5455739,68,2
leclerc,ferrari,16,2,2,18,7,71,+2.700,5458439,64,4
norris,mclaren,4,3,3,16,3,71,+5.491,5461230,71,1
hamilton,mercedes,44,4,4,12,5,71,+5.689,5461428,67,3
sainz,mclaren,55,5,5,10,8,71,+8.903,5464642,63,5
perez,racing_point,11,6,6,8,6,71,+15.092,5470831,63,6
gasly,alphatauri,10,7,7,6,12,71,+16.682,5472421,64,11
ocon,renault,31,8,8,4,14,71,+17.456,5473195,64,10
giovinazzi,alfa,99,9,9,2,18,71,+21.146,5476885,70,9
vettel,ferrari,5,10,10,1,11,71,+24.545,5480284,71,8
latifi,williams,6,11,11,0,20,71,+31.650,5487389,63,16
kvyat,alphatauri,26,12,12,0,13,69,,,50,13
albon,red_bull,23,13,13,0,4,67,,,50,7
raikkonen,alfa,7,14,R,0,19,53,,,48,12
russell,williams,63,15,R,0,17,49,,,49,14
grosjean,haas,8,16,R,0,15,49,,,46,17
kevin_magnussen,haas,20,17,R,0,16,24,,,23,20
stroll,racing_point,18,18,R,0,9,20,,,4,18
ricciardo,renault,3,19,R,0,10,17,,,8,19
max_verstappen,red_bull,33,20,R,0,2,11,,,5,15
hamilton,mercedes,44,1,1,25,1,71,1:22:50.683,4970683,68,3
bottas,mercedes,77,2,2,18,4,71,+13.719,4984402,62,7
max_verstappen,red_bull,33,3,3,15,2,71,+33.698,5004381,70,2
albon,red_bull,23,4,4,12,6,71,+44.400,5015083,67,6
norris,mclaren,4,5,5,10,9,71,+1:01.470,5032153,66,5
perez,racing_point,11,6,6,8,17,71,+1:02.387,5033070,68,4
stroll,racing_point,18,7,7,6,12,71,+1:02.453,5033136,65,10
ricciardo,renault,3,8,8,4,8,71,+1:02.591,5033274,65,9
sainz,mclaren,55,9,9,3,3,70,,,68,1
kvyat,alphatauri,26,10,10,1,13,70,,,60,13
hamilton,mercedes,44,1,1,25,2,56,1:32:03.897,5523897,44,4
max_verstappen,red_bull,33,2,2,18,1,56,+0.745,5524642,41,2
bottas,mercedes,77,3,3,16,3,56,+37.383,5561280,56,1
norris,mclaren,4,4,4,12,7,56,+46.466,5570363,38,6
perez,red_bull,11,5,5,10,0,56,+52.047,5575944,44,3
leclerc,ferrari,16,6,6,8,4,56,+59.090,5582987,39,11
ricciardo,mclaren,3,7,7,6,6,56,+66.004,5589901,36,10
sainz,ferrari,55,8,8,4,8,56,+67.100,5590997,48,7
tsunoda,alphatauri,22,9,9,2,13,56,+85.692,5609589,38,8
stroll,aston_martin,18,10,10,1,10,56,+86.713,5610610,31,9
raikkonen,alfa,7,11,11,0,14,56,+88.864,5612761,45,14
giovinazzi,alfa,99,12,12,0,12,55,,,32,13
ocon,alpine,31,13,13,0,16,55,,,33,15
russell,williams,63,14,14,0,15,55,,,40,12
vettel,aston_martin,5,15,15,0,20,55,,,26,16
mick_schumacher,haas,47,16,16,0,18,55,,,38,18
gasly,alphatauri,10,17,17,0,5,52,,,48,5
latifi,williams,6,18,18,0,17,51,,,16,19
alonso,alpine,14,19,R,0,9,32,,,31,17
mazepin,haas,9,20,R,0,19,0,,,,
max_verstappen,red_bull,33,1,1,25,3,63,2:02:34.598,7354598,60,2
hamilton,mercedes,44,2,2,19,1,63,+22.000,7376598,60,1
norris,mclaren,4,3,3,15,7,63,+23.702,7378300,63,3
leclerc,ferrari,16,4,4,12,4,63,+25.579,7380177,60,6
sainz,ferrari,55,5,5,10,11,63,+27.036,7381634,60,7
ricciardo,mclaren,3,6,6,8,6,63,+51.220,7405818,54,12
gasly,alphatauri,10,7,7,6,5,63,+52.818,7407416,52,9
stroll,aston_martin,18,8,8,4,10,63,+56.909,7411507,59,8
ocon,alpine,31,9,9,2,9,63,+65.704,7420302,62,15
alonso,alpine,14,10,10,1,15,63,+66.561,7421159,62,14
leclerc,ferrari,16,1,1,26,1,57,1:37:33.584,5853584,51,1
sainz,ferrari,55,2,2,18,3,57,+5.598,5859182,52,3
hamilton,mercedes,44,3,3,15,5,57,+9.675,5863259,53,5
russell,mercedes,63,4,4,12,9,57,+11.211,5864795,56,6
kevin_magnussen,haas,20,5,5,10,7,57,+14.754,5868338,53,8
bottas,alfa,77,6,6,8,6,57,+16.119,5869703,53,7
ocon,alpine,31,7,7,6,11,57,+19.423,5873007,53,14
tsunoda,alphatauri,22,8,8,4,16,57,+20.386,5873970,53,13
alonso,alpine,14,9,9,2,8,57,+22.390,5875974,44,10
zhou,alfa,24,10,10,1,15,57,+23.064,5876648,39,9
mick_schumacher,haas,47,11,11,0,12,57,+32.574,5886158,37,11
stroll,aston_martin,18,12,12,0,19,57,+45.873,5899457,49,15
albon,williams,23,13,13,0,14,57,+53.932,5907516,50,18
ricciardo,mclaren,3,14,14,0,18,57,+54.975,5908559,50,16
norris,mclaren,4,15,15,0,13,57,+56.335,5909919,51,12
latifi,williams,6,16,16,0,20,57,+1:01.795,5915379,51,20
hulkenberg,aston_martin,27,17,17,0,17,57,+1:03.829,5917413,49,19
perez,red_bull,11,18,18,0,4,56,,,52,4
max_verstappen,red_bull,1,19,19,0,2,54,,,51,2
gasly,alphatauri,10,20,R,0,10,44,,,34,17
max_verstappen,red_bull,1,1,1,25,4,50,1:24:19.293,5059293,50,2
leclerc,ferrari,16,2,2,19,2,50,+0.549,5059842,48,1
sainz,ferrari,55,3,3,15,3,50,+8.097,5067390,48,3
perez,red_bull,11,4,4,12,1,50,+10.800,5070093,46,4
russell,mercedes,63,5,5,10,6,50,+32.732,5092025,43,7
ocon,alpine,31,6,6,8,5,50,+56.017,5115310,46,9
norris,mclaren,4,7,7,6,11,50,+56.124,5115417,46,5
gasly,alphatauri,10,8,8,4,9,50,+1:02.946,5122239,42,10
kevin_magnussen,haas,20,9,9,2,10,50,+1:04.308,5123601,48,6
hamilton,mercedes,44,10,10,1,15,50,+1:13.948,5133241,47,8
