constructorId,name,points,status,raceId
renault,Renault,0,Finished,12
force_india,Force India,0,Finished,15
force_india,Force India,0,Finished,15
sauber,Sauber,0,Finished,15
toro_rosso,Toro Rosso,0,Finished,15
renault,Renault,0,Finished,15
lotus_racing,Lotus,0,Finished,15
lotus_racing,Lotus,0,Finished,15
force_india,Force India,0,Finished,16
toro_rosso,Toro Rosso,0,Finished,1
mercedes,Mercedes,0,Finished,1
red_bull,Red Bull,0,Finished,2
toro_rosso,Toro Rosso,0,Finished,2
mercedes,Mercedes,0,Finished,2
mclaren,McLaren,0,Finished,2
ferrari,Ferrari,0,Finished,2
sauber,Sauber,0,Finished,3
force_india,Force India,0,Finished,3
ferrari,Ferrari,0,Finished,3
